Player,Age,G,GS,MP,PTS,FG%,3P%,FT%,TS%,TOV%,PTS_per_Min,Projected_PTS_36,PTS_per_FGA,TS_Impact,MSEI,Cluster,Cluster_Name
Cooper Flagg,19.0,70,70,33.5,21.0,0.468,0.295,0.827,0.548,10.7,0.6268656716417911,22.56716417910448,1.2280701754385963,11.508000000000001,1.0569919632606202,1,Volume Scorers
Anthony Davis,32.0,20,20,31.3,20.4,0.506,0.27,0.728,0.551,10.0,0.6517571884984025,23.46325878594249,1.2215568862275448,11.2404,1.1752959628231194,1,Volume Scorers
P.J. Washington,27.0,56,53,31.0,14.2,0.45,0.325,0.687,0.537,11.3,0.45806451612903226,16.490322580645163,1.2033898305084745,7.6254,0.7199433516915815,1,Volume Scorers
Naji Marshall,28.0,74,47,29.5,15.2,0.51,0.291,0.76,0.592,11.1,0.5152542372881356,18.54915254237288,1.3693693693693694,8.998399999999998,0.9075287855441938,1,Volume Scorers
Max Christie,22.0,77,68,29.1,12.3,0.441,0.404,0.899,0.601,10.9,0.422680412371134,15.216494845360824,1.3085106382978724,7.3923000000000005,0.768496924543013,3,Efficient Scorers
Brandon Williams,26.0,66,15,22.2,13.0,0.472,0.232,0.793,0.572,14.3,0.5855855855855856,21.08108108108108,1.3978494623655913,7.435999999999999,0.7881293057763644,1,Volume Scorers
Klay Thompson,35.0,69,8,21.7,11.7,0.393,0.383,0.766,0.541,7.8,0.5391705069124424,19.410138248847925,1.1037735849056602,6.3297,1.1932823627984916,1,Volume Scorers
Daniel Gafford,27.0,55,44,21.7,9.5,0.655,,0.683,0.677,14.0,0.4377880184331797,15.76036866359447,1.6666666666666665,6.431500000000001,0.7113179723502304,3,Efficient Scorers
Marvin Bagley III,26.0,22,4,21.4,11.0,0.606,0.485,0.553,0.652,8.4,0.5140186915887851,18.504672897196265,1.4666666666666666,7.172000000000001,1.2835156094651028,3,Efficient Scorers
Khris Middleton,34.0,29,16,21.1,10.0,0.404,0.391,0.91,0.536,15.9,0.4739336492890995,17.06161137440758,1.2048192771084336,5.36,0.5411256625255896,0,Low Impact Players
Ryan Nembhard,22.0,60,27,19.5,6.6,0.415,0.356,0.806,0.492,17.4,0.3384615384615384,12.184615384615384,1.0153846153846153,3.2472,0.32580602006688963,0,Low Impact Players
D'Angelo Russell,29.0,26,3,19.0,10.2,0.405,0.295,0.717,0.511,15.9,0.5368421052631579,19.326315789473686,1.146067415730337,5.2122,0.5843637496107134,1,Volume Scorers
Caleb Martin,30.0,58,12,14.8,3.9,0.45,0.351,0.607,0.526,15.6,0.2635135135135135,9.486486486486486,1.1818181818181819,2.0514,0.3005958971019212,0,Low Impact Players
Dwight Powell,34.0,63,12,14.3,3.3,0.644,0.286,0.696,0.699,21.4,0.23076923076923075,8.307692307692307,2.0624999999999996,2.3066999999999998,0.25924450549450545,2,Efficient Specialists
Moussa Cisse,23.0,38,1,13.9,4.5,0.574,,0.469,0.564,16.6,0.3237410071942446,11.654676258992804,1.5,2.538,0.3734793982995421,0,Low Impact Players
Jaden Hardy,23.0,34,4,12.6,6.9,0.402,0.371,0.775,0.551,11.3,0.5476190476190477,19.714285714285715,1.2105263157894737,3.8019000000000007,0.8831358885017422,1,Volume Scorers
AJ Johnson,21.0,23,0,10.4,3.9,0.323,0.156,0.893,0.427,10.2,0.375,13.5,0.975,1.6653,0.5146875000000001,0,Low Impact Players
